,選手名,球団,一軍,防御率,勝,負,S,奪三振,試合数,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,失点,自責点,完投,完封,無四球,被打率,QS率,援護点,援護率,WHIP,UP打数,UP被安打,UP被打率,UP被本塁打,最高球速,最低球速,球速差,year,get_out
131,押本健彦,ヤ,○,3.62,4,1,1,49,65,592/3,7.39,1006,261,64,9,21,2,2,26,24,0,0,0,.276,0.00%,0,0.00,1.39,80,23,.288,1,147,94,53,2012,179.0
132,赤川克紀,ヤ,○,3.79,8,9,0,91,28,1562/3,5.23,2566,668,156,13,52,9,2,73,66,2,1,0,.267,51.85%,73,3.93,1.31,299,84,.281,5,145,106,39,2012,470.0
133,村中恭兵,ヤ,○,3.87,10,7,0,89,25,144,5.56,2410,633,155,6,60,5,1,65,62,3,2,0,.285,60.87%,54,3.26,1.49,268,70,.261,5,149,108,41,2012,432.0
134,七條祐樹,ヤ,○,4.20,2,3,0,12,6,30,3.60,492,131,30,3,12,2,0,15,14,0,0,0,.268,33.33%,9,2.61,1.40,84,20,.238,1,144,96,48,2012,90.0
135,松井光介,ヤ,,4.50,1,0,0,12,20,18,6.00,262,77,17,1,6,1,0,9,9,0,0,0,.262,0.00%,0,0.00,1.28,12,2,.167,0,142,115,27,2012,54.0
136,平井諒,ヤ,,5.21,2,2,1,10,22,19,4.74,296,82,21,3,5,1,0,11,11,0,0,0,.288,0.00%,0,0.00,1.37,14,4,.286,1,149,124,25,2012,57.0
137,増渕竜義,ヤ,,5.38,2,7,0,63,49,732/3,7.70,1275,331,80,6,34,2,1,45,44,0,0,0,.285,20.00%,10,3.33,1.53,91,31,.341,2,148,93,55,2012,221.0
138,久古健太郎,ヤ,,5.63,0,0,0,6,9,8,6.75,142,37,9,2,3,0,0,7,5,0,0,0,.273,0.00%,0,0.00,1.50,2,0,.000,0,139,112,27,2012,24.0
139,フェルナンデス,ヤ,,7.11,1,0,0,4,9,122/3,2.84,221,61,15,2,9,1,0,10,10,0,0,0,.306,0.00%,0,0.00,1.89,0,0,.000,0,146,105,41,2012,38.0
140,小野寺力,ヤ,,7.71,0,0,0,4,4,42/3,7.71,63,20,6,1,0,0,0,4,4,0,0,0,.300,0.00%,0,0.00,1.29,0,0,.000,0,145,130,15,2012,14.0
141,渡辺恒樹,ヤ,,13.50,0,0,0,2,3,2,9.00,41,13,5,1,2,0,0,3,3,0,0,0,.455,0.00%,0,0.00,3.50,1,1,1.000,0,139,103,36,2012,6.0
142,ウーゴ,ヤ,,13.50,0,0,0,0,1,02/3,0.00,23,6,0,0,4,0,0,1,1,0,0,0,.000,0.00%,0,0.00,6.00,0,0,.000,0,148,116,32,2012,2.0
143,平井諒,ヤ,,1.42,1,1,0,8,7,61/3,11.37,110,29,7,0,2,0,0,1,1,0,0,0,.269,0.00%,0,0.00,1.42,7,4,.571,0,152,134,18,2013,19.0
144,藤田太陽,ヤ,,1.93,0,0,1,6,20,182/3,2.89,286,78,13,3,6,3,0,5,4,0,0,0,.188,0.00%,0,0.00,1.02,8,3,.375,1,145,110,35,2013,56.0
145,久古健太郎,ヤ,○,2.76,2,1,0,33,38,291/3,10.13,479,120,28,6,3,2,0,10,9,0,0,0,.243,0.00%,0,0.00,1.06,27,7,.259,3,147,113,34,2013,88.0
146,石山泰稚,ヤ,○,2.78,3,3,10,59,60,581/3,9.10,1078,263,58,6,30,1,3,21,18,0,0,0,.260,0.00%,0,0.00,1.46,105,25,.238,4,150,104,46,2013,175.0
147,大場達也,ヤ,,2.84,0,0,0,6,5,61/3,8.53,157,33,3,0,10,0,0,5,2,0,0,0,.130,0.00%,0,0.00,2.05,2,0,.000,0,148,125,23,2013,19.0
148,山本哲哉,ヤ,○,2.87,1,3,11,38,64,592/3,5.73,911,250,57,8,17,2,1,24,19,0,0,0,.257,0.00%,0,0.00,1.22,116,30,.259,2,151,123,28,2013,179.0
149,正田樹,ヤ,,2.87,1,1,0,10,15,152/3,5.74,220,63,16,2,1,2,0,6,5,0,0,0,.276,0.00%,0,0.00,1.09,4,2,.500,1,140,96,44,2013,47.0
150,小川泰弘,ヤ,○,2.93,16,4,0,135,26,178,6.83,2720,722,155,9,45,2,1,63,58,4,3,0,.234,73.08%,107,5.23,1.12,298,72,.242,6,148,99,49,2013,534.0
151,館山昌平,ヤ,,3.24,0,0,0,6,2,81/3,6.48,140,37,9,0,3,1,0,4,3,0,0,0,.281,0.00%,3,3.38,1.44,15,5,.333,0,149,119,30,2013,25.0
152,石川雅規,ヤ,,3.52,6,9,0,85,24,1481/3,5.16,2282,623,149,15,33,6,1,73,58,2,0,1,.264,62.50%,68,3.95,1.22,313,74,.236,7,141,84,57,2013,445.0
153,木谷良平,ヤ,,4.00,3,3,0,55,28,782/3,6.29,1266,333,77,5,24,3,1,36,35,0,0,0,.261,62.50%,22,3.67,1.27,125,34,.272,3,147,104,43,2013,236.0
154,七條祐樹,ヤ,,4.04,0,1,1,30,30,352/3,7.57,562,149,34,6,10,1,0,16,16,0,0,0,.252,0.00%,0,0.00,1.23,23,9,.391,1,148,98,50,2013,107.0
